Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Metodo,Diferenca_Absoluta,Erro_Percentual
Soro,1_1H,GABA,,45.8764453143184,,CSV,,
Soro,1_1H,"1,3-Diaminopropane",,48.6599322238338,,CSV,,
Soro,1_1H,Aspartate,,49.5243280786287,11.0,CSV,38.5243280786287,350.22
Soro,1_1H,Fucose,HMDB00174,50.3828313863758,,CSV,,
Soro,1_1H,2-Propanol,,52.8161479641483,,CSV,,
Soro,1_1H,Succinate,HMDB00254,52.8954599973986,4.1,CSV,48.7954599973986,1190.13
Soro,1_1H,Ornithine,,55.5788202880431,13.1,CSV,42.478820288043096,324.27
Soro,1_1H,trans-4-Hydroxy-L-Proline,,58.8194212193487,,CSV,,
Soro,1_1H,Pantothenate,HMDB00210,60.2409433241426,,CSV,,
Soro,1_1H,Saturated_fattty_acids,,62.9091556897401,,CSV,,
Soro,1_1H,Isocitrate,,63.6886270380789,,CSV,,
Soro,1_1H,DehydroAscorbate,,65.2061208038257,,CSV,,
Soro,1_1H,3-Methylxanthine,,66.837743882022,,CSV,,
Soro,1_1H,7-Methylxanthine,,67.3710838484975,,CSV,,
Soro,1_1H,CholineChloride,,68.1646700820944,,CSV,,
Soro,1_1H,Hypotaurine,,75.5006739164321,,CSV,,
Soro,1_1H,3-Methyl-L-Histidine,,76.7755286005286,,CSV,,
Soro,1_1H,Alanine,HMDB00161,78.2007721999727,101.6,CSV,23.39922780002729,23.03
Soro,1_1H,Isoleucine,HMDB00172,78.586025088064,15.6,CSV,62.986025088064004,403.76
Soro,1_1H,Spermidine,,80.4376880820859,,CSV,,
Soro,1_1H,Myo-Inositol,,82.2896495767378,,CSV,,
Soro,1_1H,Glycine,HMDB00123,86.8127783079011,102.1,CSV,15.287221692098896,14.97
Soro,1_1H,Phosphocholine,,92.9371633413705,,CSV,,
Soro,1_1H,PropyleneGlycol,,95.1440842527963,,CSV,,
Soro,1_1H,Arabitol,,98.0418594089706,,CSV,,
Soro,1_1H,5-AminoValerate,,103.412706490673,,CSV,,
Soro,1_1H,Putrescine,,104.819767101851,,CSV,,
Soro,1_1H,2-Oxoglutarate,HMDB00208,106.648190536928,2.9,CSV,103.74819053692799,3577.52
Soro,1_1H,Cadaverine,,110.689784143926,,CSV,,
Soro,1_1H,Citrate,HMDB00094,110.85042357888,28.0,CSV,82.85042357888,295.89
Soro,1_1H,3-Methyladipate,,111.656358814161,,CSV,,
Soro,1_1H,Valine,HMDB00883,114.146490245043,60.9,CSV,53.246490245043,87.43
Soro,1_1H,N-Acetylglycine,,115.736530330455,,CSV,,
Soro,1_1H,Threonine,HMDB00167,121.228738918653,33.0,CSV,88.228738918653,267.36
Soro,1_1H,3-Hydroxybutyrate,HMDB00357,137.095755851367,18.2,CSV,118.89575585136699,653.27
Soro,1_1H,4-HydroxyphenylAcetate,,153.537323322365,,CSV,,
Soro,1_1H,2-AminoAdipate,,163.010820631738,,CSV,,
Soro,1_1H,Dihydrothymine,,168.048060764475,,CSV,,
Soro,1_1H,Arginine,,174.923042476634,39.9,CSV,135.023042476634,338.4
Soro,1_1H,Mannose,,175.459757626102,19.1,CSV,156.359757626102,818.64
Soro,1_1H,Guanidinoacetate,,181.459653819165,,CSV,,
Soro,1_1H,Citrulline,,188.427559000315,,CSV,,
Soro,1_1H,Methylmalonate,,213.662818020665,,CSV,,
Soro,1_1H,Cystine,,224.430584630589,,CSV,,
Soro,1_1H,Ascorbate,,226.391290795812,,CSV,,
Soro,1_1H,Taurine,HMDB00251,226.429257914667,53.1,CSV,173.329257914667,326.42
Soro,1_1H,Xylitol,HMDB02917,245.24771834259,,CSV,,
Soro,1_1H,Carnitine,HMDB00062,247.173385733154,11.7,CSV,235.473385733154,2012.59
Soro,1_1H,Leucine,HMDB00687,247.391286361861,33.4,CSV,213.991286361861,640.69
Soro,1_1H,Glucuronate,,253.163216965403,,CSV,,
Soro,1_1H,Methanol,,267.555205475398,24.6,CSV,242.955205475398,987.62
Soro,1_1H,Glycerol,,313.070647293335,70.9,CSV,242.170647293335,341.57
Soro,1_1H,Galactitol,,368.381538015297,,CSV,,
Soro,1_1H,Lysine,HMDB00182,394.199843961683,57.9,CSV,336.299843961683,580.83
Soro,1_1H,Sorbitol,,428.867300709028,,CSV,,
Soro,1_1H,2-Aminobutyrate,,488.602655210249,5.6,CSV,483.002655210249,8625.05
Soro,1_1H,Glutamate,,622.710099039148,59.7,CSV,563.0100990391479,943.07
Soro,1_1H,Proline,,743.11033164233,31.8,CSV,711.3103316423301,2236.82
Soro,1_1H,Glycerate,,743.246379720859,,CSV,,
Soro,1_1H,Glutamine,HMDB00641,827.866926946014,146.9,CSV,680.966926946014,463.56
Soro,1_1H,Lactate,HMDB00190,1061.45540894701,777.8,CSV,283.6554089470101,36.47
Soro,1_1H,Glucose,HMDB00122,3579.63556210069,1197.5,CSV,2382.13556210069,198.93
Soro,20_1H,2-Oxoglutarate,HMDB00208,0.0,2.5,CSV,2.5,100.0
Soro,20_1H,Arabitol,,0.0,,CSV,,
Soro,20_1H,trans-4-Hydroxy-L-Proline,,0.0,,CSV,,
Soro,20_1H,Succinate,HMDB00254,0.0,2.8,CSV,2.8,100.0
Soro,20_1H,Indoxylsulfate,,0.0,,CSV,,
Soro,20_1H,Phenethylamine,,0.0,,CSV,,
Soro,20_1H,Uracil,HMDB00300,0.0,,CSV,,
Soro,20_1H,Syringate,,0.0,,CSV,,
Soro,20_1H,Benzoate,,0.0,0.0,CSV,0.0,
Soro,20_1H,Glutarate,,0.0,,CSV,,
Soro,20_1H,trans-Ferulate,,0.0,,CSV,,
Soro,20_1H,1-Methyl-L-Histidine,,0.0,,CSV,,
Soro,20_1H,3-HydroxyphenylAcetate,,0.0,,CSV,,
Soro,20_1H,Pyrocatechol,,0.0,,CSV,,
Soro,20_1H,Carnosine,HMDB00033,0.0,,CSV,,
Soro,20_1H,Long-chain_alkane,,0.0,,CSV,,
Soro,20_1H,Oxypurinol,,0.0,,CSV,,
Soro,20_1H,Acetate,HMDB00042,0.0,7.0,CSV,7.0,100.0
Soro,20_1H,Glutaconate,,0.0,,CSV,,
Soro,20_1H,Kynurenate,,0.0,,CSV,,
Soro,20_1H,Pimelate,,0.0,,CSV,,
Soro,20_1H,Cytosine,,0.0,,CSV,,
Soro,20_1H,ATP,,0.0,,CSV,,
Soro,20_1H,Uridine,HMDB00296,0.0,,CSV,,
