PPM,01RCF_ex1_p1,02RCF_ex1_p1,03RCF_ex1_p1,04RCF_ex1_p1,05RCF_ex1_p1
-4.837211182944687,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1985.2097715673917,0.0
-4.837111823222953,-2079.988221146081,-1288.7821441019933,-1436.6155187146078,1985.2097715673917,0.0
-4.837012463501219,-2079.988221146081,-1288.7821441019933,-1436.6155187146078,1985.2097715673917,0.0
-4.8369131037794855,-2079.988221146081,-1288.7821441019933,-1436.6155187146078,1880.7250467480553,0.0
-4.836813744057753,-2079.988221146081,-1288.7821441019933,-1436.6155187146078,1880.7250467480553,0.0
-4.83671438433602,-2079.988221146081,-1288.7821441019933,-1436.6155187146078,1880.7250467480553,0.0
-4.836615024614286,-2079.988221146081,-1288.7821441019933,-1436.6155187146078,1776.240321928719,0.0
-4.836515664892554,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1776.240321928719,0.0
-4.83641630517082,-1039.9941105730404,-1288.7821441019933,-1436.6155187146078,1776.240321928719,0.0
-4.836316945449086,-1039.9941105730404,-1288.7821441019933,-718.3077593573039,1776.240321928719,0.0
-4.836217585727352,-2079.988221146081,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.83611822600562,-2079.988221146081,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.8360188662838866,-2079.988221146081,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.835919506562153,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.835820146840421,-1039.9941105730404,0.0,-718.3077593573039,1880.7250467480553,0.0
-4.835720787118687,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,0.0
-4.835621427396953,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,-1253.5073840982539
-4.835522067675219,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,-1253.5073840982539
-4.835422707953487,-1039.9941105730404,0.0,-718.3077593573039,1985.2097715673917,-1253.5073840982539
-4.8353233482317535,-1039.9941105730404,0.0,-718.3077593573039,2089.694496386728,-1253.5073840982539
-4.83522398851002,-1039.9941105730404,0.0,-718.3077593573039,2089.694496386728,-1253.5073840982539
-4.835124628788288,-1039.9941105730404,0.0,-718.3077593573039,2089.694496386728,0.0
-4.835025269066554,-1039.9941105730404,0.0,-718.3077593573039,2089.694496386728,0.0
-4.83492590934482,-1039.9941105730404,0.0,0.0,2089.694496386728,0.0
