Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS,Diferenca_Absoluta,Erro_Percentual
Soro,1_1H,Xylitol,HMDB02917,245.24771834259,,,
Soro,1_1H,Carnitine,HMDB00062,247.173385733154,11.7,235.473385733154,2012.59
Soro,1_1H,Leucine,HMDB00687,247.391286361861,33.4,213.991286361861,640.69
Soro,1_1H,D-Glucuronate,,253.163216965403,,,
Soro,1_1H,Methanol,,267.555205475398,24.6,242.955205475398,987.62
Soro,1_1H,Glycerol,,313.070647293335,70.9,242.170647293335,341.57
Soro,1_1H,Galactitol,,368.381538015297,,,
Soro,1_1H,Lysine,HMDB00182,394.199843961683,57.9,336.299843961683,580.83
Soro,1_1H,Sorbitol,,428.867300709028,,,
Soro,1_1H,2-Aminobutyrate,,488.602655210249,5.6,483.002655210249,8625.05
Soro,1_1H,Glutamate,,622.710099039148,59.7,563.0100990391479,943.07
Soro,1_1H,Proline,,743.11033164233,31.8,711.3103316423301,2236.82
Soro,1_1H,Glycerate,,743.246379720859,,,
Soro,1_1H,Glutamine,HMDB00641,827.866926946014,146.9,680.966926946014,463.56
Soro,1_1H,Lactate,HMDB00190,1061.45540894701,777.8,283.6554089470101,36.47
Soro,1_1H,Glucose,HMDB00122,3579.63556210069,1197.5,2382.13556210069,198.93
Soro,20_1H,2-Oxoglutarate,HMDB00208,0.0,2.5,2.5,100.0
Soro,20_1H,Succinate,HMDB00254,0.0,2.8,2.8,100.0
Soro,20_1H,Acetate,HMDB00042,0.0,7.0,7.0,100.0
Soro,20_1H,Asparagine,HMDB00168,0.0,13.1,13.1,100.0
Soro,20_1H,Histidine,HMDB00177,0.0,29.9,29.9,100.0
Soro,20_1H,Hypoxanthine,HMDB00157,0.0871915649766997,2.8,2.7128084350233,96.89
Soro,20_1H,Urocanate,HMDB00301,0.146449134409027,,,
Soro,20_1H,Acetaminophen,,0.246686620976212,,,
Soro,20_1H,Tryptophan,HMDB00929,0.391167928483864,,,
Soro,20_1H,Methylamine,,0.471423474158213,,,
Soro,20_1H,2-HydroxyphenylAcetate,,0.499814982794753,,,
Soro,20_1H,Quinolinate,,0.60014191163376,,,
Soro,20_1H,Dimethylamine,HMDB00087,0.788995449139363,,,
Soro,20_1H,CTP,,0.804152538073377,,,
Soro,20_1H,2-Oxobutyrate,,1.23255726026797,,,
Soro,20_1H,Phenylglyoxylate,,1.28892520209858,,,
Soro,20_1H,Adenine,,1.29995365878588,,,
Soro,20_1H,Hippurate,HMDB00714,1.75825350115474,,,
Soro,20_1H,Dimethylglycine,,1.95899654558534,,,
Soro,20_1H,Fumarate,,2.27564712820044,,,
Soro,20_1H,Dihydrothymine,,2.75172475403411,,,
Soro,20_1H,4-AminoHippurate,,2.99755723997052,,,
Soro,20_1H,Sarcosine,,3.2123546441747,,,
Soro,20_1H,Isocitrate,,3.78011397867619,,,
Soro,20_1H,dAMP,,4.2073294980037,,,
Soro,20_1H,Trimethylamine,,4.72442072653042,,,
Soro,20_1H,Creatinine,HMDB00562,4.81354790418786,14.8,9.98645209581214,67.48
Soro,20_1H,2-Deoxyadenosine,,5.87673537512496,,,
Soro,20_1H,Methylguanidine,,5.90696643897712,,,
Soro,20_1H,Anserine,,6.20996988854796,,,
Soro,20_1H,Acetone,HMDB01659,6.65980703794609,1.6,5.05980703794609,316.24
Soro,20_1H,Tartarate,,6.7659833734872,,,
Soro,20_1H,Glycerophosphocholine,,7.15935219139094,,,
Soro,20_1H,N-Acetyl-L-Aspartate,,8.39809563179789,,,
Soro,20_1H,TMAO,,8.43697191897127,,,
Soro,20_1H,Creatine,HMDB00064,9.19081643101349,6.0,3.1908164310134897,53.18
Soro,20_1H,alpha-Hydroxyisobutyrate,,11.4056744268616,,,
Soro,20_1H,Glutathione-oxidized,,11.7210161573522,,,
Soro,20_1H,4-EthylPhenol,,13.1782358112386,,,
Soro,20_1H,Adipate,,14.145038112692,,,
Soro,20_1H,Acetoacetate,HMDB00060,15.7508387390301,0.9,14.850838739030099,1650.09
Soro,20_1H,Mandelate,,16.0036327856012,,,
Soro,20_1H,beta-Hydroxyisovalerate,,16.7186037247094,,,
Soro,20_1H,Butyrate,HMDB00039,17.7441846115718,,,
Soro,20_1H,Dimethylsulfone,,19.023628389866,,,
Soro,20_1H,Trans-Acotinate,,20.326026975244,,,
Soro,20_1H,N-Acetylglycine,,22.9067240967495,,,
Soro,20_1H,Myo-Inositol,,23.3452154110593,,,
Soro,20_1H,1-Methylhydantoin,,23.4889826149621,,,
Soro,20_1H,Citraconate,,28.1279812889012,,,
Soro,20_1H,3-PhenylPropionate,,28.4296720216205,,,
Soro,20_1H,Azelaic ate,,30.3762667072729,,,
Soro,20_1H,Isobutyrate,,30.7965559132711,,,
Soro,20_1H,Formate,HMDB00142,31.7569176524342,2.8,28.9569176524342,1034.18
Soro,20_1H,S-Acetamidomethylcysteine,,34.7295065647315,,,
Soro,20_1H,GABA,,38.984867648213,,,
Soro,20_1H,O-Acetyl-L-Carnitine,,42.3235092010227,,,
Soro,20_1H,Methylmalonate,,42.9674547649084,,,
Soro,20_1H,Ethanolamine,HMDB00149,44.5874092566818,,,
Soro,20_1H,Pyruvate,HMDB00243,46.5860680954904,16.7,29.886068095490398,178.96
Soro,20_1H,Ethylmalonate,,47.836667091773,,,
Soro,20_1H,Propionate,,49.4292266017284,,,
Soro,20_1H,7-Methylxanthine,,51.8702351484298,,,
Soro,20_1H,2-Hydroxybutyrate,,52.0155205298796,12.9,39.1155205298796,303.22
Soro,20_1H,Sebacate,,52.2709314282637,,,
Soro,20_1H,Tyrosine,HMDB00158,53.9648449847006,22.2,31.7648449847006,143.08
Soro,20_1H,Aspartate,,54.6501974436865,10.1,44.5501974436865,441.09
Soro,20_1H,Malate,,55.9304997109783,,,
Soro,20_1H,Isovalerate,,58.8729136628002,,,
Soro,20_1H,3-Methyl-L-Histidine,,59.2095895231033,,,
Soro,20_1H,Beta-Alanine,,62.200647695837,,,
Soro,20_1H,2-Methylglutarate,,64.6858081571862,,,
Soro,20_1H,Phosphocholine,,68.3955023531866,,,
Soro,20_1H,Spermidine,,69.7037728368129,,,
Soro,20_1H,2-Oxoisovalerate,,72.2254788709029,,,
Soro,20_1H,Lactose,,75.2323185313875,,,
Soro,20_1H,Galactitol,,78.7141691104697,,,
Soro,20_1H,Saturated_fattty_acids,,80.7604658501958,,,
Soro,20_1H,5-AminoValerate,,82.0272549463419,,,
Soro,20_1H,Valerate,,85.4014005532295,,,
Soro,20_1H,Hypotaurine,,85.768090000024,,,
Soro,20_1H,Methionine,HMDB00696,91.0477531670682,6.7,84.34775316706819,1258.92
Soro,20_1H,Putrescine,,101.223411789044,,,
Soro,20_1H,"1,3-Diaminopropane",,109.05111679054,,,
Soro,20_1H,Fucose,HMDB00174,109.605325886516,,,
Soro,20_1H,Pantothenate,HMDB00210,110.576137092318,,,
Soro,20_1H,Maltose,,113.117072833784,,,
Soro,20_1H,Saccarate,,129.960702016084,,,
Soro,20_1H,3-Methylxanthine,,145.900949612609,,,
Soro,20_1H,2-AminoAdipate,,146.049069485874,,,
Soro,20_1H,3-Methyladipate,,146.144891719437,,,
Soro,20_1H,PropyleneGlycol,,176.353793800731,,,
Soro,20_1H,Phenylalanine,,222.517471432824,26.4,196.117471432824,742.87
Soro,20_1H,Guanidinoacetate,,230.258862128021,,,
Soro,20_1H,Isoleucine,HMDB00172,230.456649793519,22.7,207.75664979351902,915.23
Soro,20_1H,Pyroglutamate,HMDB00267,239.274719348445,,,
Soro,20_1H,4-HydroxyphenylAcetate,,247.662170920265,,,
Soro,20_1H,Methanol,,252.644623925101,41.9,210.744623925101,502.97
Soro,20_1H,Citrulline,,256.702166560404,,,
Soro,20_1H,Ornithine,,270.464735655178,13.3,257.164735655178,1933.57
Soro,20_1H,Serine,HMDB00187,282.937671122384,56.3,226.637671122384,402.55
Soro,20_1H,Carnitine,HMDB00062,284.669485021802,16.1,268.569485021802,1668.13
Soro,20_1H,Taurine,HMDB00251,304.814401418308,40.0,264.814401418308,662.04
Soro,20_1H,Glucose-6-Phosphate,,311.993959367496,,,
Soro,20_1H,CholineChloride,,316.41357180201,,,
Soro,20_1H,Ascorbate,,322.551301208091,,,
Soro,20_1H,Levoglucosan,,329.210539331991,,,
Soro,20_1H,Cadaverine,,330.244806174151,,,
Soro,20_1H,Glycogen,,332.45174145873,,,
Soro,20_1H,Citrate,HMDB00094,345.726102743116,41.2,304.526102743116,739.14
Soro,20_1H,Xylitol,HMDB02917,346.693723431571,,,
Soro,20_1H,2-Propanol,,351.066207821876,,,
Soro,20_1H,Sorbitol,,351.129397698335,,,
Soro,20_1H,D-Glucuronate,,353.777487977755,,,
