Biofluido,Experiment,Metabolite,HMDB,Concentration_ASICS,Concentration_GS
Soro,2_1H,Glutarate,,0.0,
Soro,2_1H,Phenylglyoxylate,,18.0626437089473,
Soro,2_1H,Acetoacetate,HMDB00060,21.6830598206625,4.4
Soro,2_1H,O-Acetyl-L-Carnitine,,6.5388416763404,
Soro,2_1H,Malate,,0.0,
Soro,2_1H,Dimethylsulfone,,0.0,
Soro,2_1H,Acetaminophen,,0.584256422590802,
Soro,2_1H,Azelaic ate,,5.45384804707214,
Soro,2_1H,trans-Ferulate,,68.0493618653666,
Soro,2_1H,1-Methyl-L-Histidine,,10.0858911458581,
Soro,2_1H,Methylamine,,6.9326952557795,
Soro,2_1H,2-Oxoisovalerate,,24.8229520702581,
Soro,2_1H,Methylguanidine,,6.68451638715245,
Soro,2_1H,1-Methylhydantoin,,5.6139647334989,
Soro,2_1H,Propionate,,0.0,
Soro,2_1H,3-HydroxyphenylAcetate,,71.2139754978897,
Soro,2_1H,2-Methylglutarate,,16.106945907388,
Soro,2_1H,Pyrocatechol,,35.2129312565398,
Soro,2_1H,Acetone,HMDB01659,4.22722838246893,2.8
Soro,2_1H,Fructose,HMDB00660,50.2236269181618,
Soro,2_1H,beta-Hydroxyisovalerate,,7.5963094385849,
Soro,2_1H,Trimethylamine,,5.02085458738244,
Soro,2_1H,N-Acetyl-L-Aspartate,,49.5834478249736,
Soro,2_1H,Carnosine,HMDB00033,2.6847889657719,
Soro,2_1H,Citraconate,,5.96442798559049,
Soro,2_1H,2-HydroxyphenylAcetate,,67.3943873555614,
Soro,2_1H,Long-chain_alkane,,5.16480801882131,
Soro,2_1H,Oxypurinol,,5.17872439091291,
Soro,2_1H,Acetate,HMDB00042,0.0,12.7
Soro,2_1H,Glutaconate,,73.1177723193992,
Soro,2_1H,Kynurenate,,4.26475954309551,
Soro,2_1H,Isobutyrate,,10.2331586138831,
Soro,2_1H,Dimethylamine,HMDB00087,13.3210218463981,
Soro,2_1H,Formate,HMDB00142,27.6766766353617,6.8
Soro,2_1H,Pimelate,,0.0,
Soro,2_1H,Dimethylglycine,,4.81463396697876,
Soro,2_1H,dAMP,,10.5815393312152,
Soro,2_1H,Quinolinate,,18.901752616011,
Soro,2_1H,Tartarate,,0.0,
Soro,2_1H,Tyrosine,HMDB00158,7.11506164708662,17.6
Soro,2_1H,Adenine,,7.12994706211897,
Soro,2_1H,Cytosine,,40.019348629779,
Soro,2_1H,ATP,,0.377989124874369,
Soro,2_1H,Uridine,HMDB00296,0.0,
Soro,2_1H,2-Picolinate,,5.37340379509608,
Soro,2_1H,Sarcosine,,17.0720462868887,
Soro,2_1H,Nicotinurate,,0.0,
Soro,2_1H,Fumarate,,15.173315657387,
